Publisher,Journal title,Article title,Cost
Society for Neuroscience,Journal of Neuroscience,Depletion of perineuronal nets enhances recognition memory and long-term depression in the perirhinal cortex,"£2 104,22"
Society for Neuroscience,Journal of Neuroscience,A distinct contribution of short wavelength sensitive cones to light evoked activity in the mouse pretectal olivary nucleus (PON),"£2 214,66"
Society for Neurosciences,Journal of Neuroscience,Segregated encoding of reward-identity and stimulus-reward associations in human orbitofrontal cortex,"£614,73"
Society of Neuroscience,Journal of Neuroscience,Auditory artificial grammar learing in macaque and marmoset monkeys,"£2 346,18"
Society for Neuroscience,Journal of Neuroscience ,Calcineurin mediates activity-dependent relocation of the axon initial segment,"£2 950,25"
Elsevier,Journal of Neuroscience Methods,A Comparison of Automated Anatomical-Behavioural Mapping Methods in a Rodent Model of Stroke,"£1 442,48"
Elsevier,Journal of Neuroscience Methods,Registration of Challenging Pre-clinical Brain Images,"£2 420,16"
Dartmouth Journals,Journal of Nutrition,Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults,"£2 594,13"
Elsevier,Journal of Nutrition Education and Behaviour,Examining multiple parenting behaviours on young children’s dietary fat consumption,"£2 321,23"
Wiley-Blackwell,Journal of Orthopedic Research,Hip abduction can prevent posterior edge loading of hip replacements,"£2 374,52"
Elsevier,Journal of paediatric Urology ,Persistent unexplained congenital clitoromegaly in females born extremely premature,"£2 444,75"
Hindawi Publishing Corporation,Journal of Parasitology Research,"Mast Cell subsets & their functional modulation by the Acanthocheilonema vitae product, ES-62  J Parasitol Res. 2013;2013:961268. doi: 10.1155/2013/961268. Epub 2013 Feb 7.
","£623,95"
John Wiley & Sons,Journal of Pathology,Use of multivariate analysis to suggest a new molecular classification of colorectal cancer.,"£2 276,53"
Wiley,Journal of Pathology,LRIG1 regulates cadherin-dependent contact inhibition directing epithelial homeostasis and pre-invasive squamous cell carcinoma development,"£1 500,00"
Wiley,Journal of Pathology,The peritoneal microenvironment of hig-grade serous ovarian cancer,"£1 897,33"
American Physiological Society,Journal of Physiology,Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture,"£1 314,58"
John Wiley & Sons,Journal of Physiology,Plasticity of spatial hearing: behavioural effects of cortical inactivation,"£1 872,72"
Wiley,Journal of Physiology,Suppressed cellular oscillations in after-hours mutant mice are associated with enhanced circadian phase-resetting ,"£1 869,62"
Wiley,Journal of Physiology,Nitric oxide dependent LTD but not endocannabinoid LTP is crucial for visual recognition memory,"£2 352,94"
Wiley,Journal of Physiology,A functional role for both GABA transporter-1 and GABA transporter-3 in the modulation of extracellular GABA and GABAergic tonic conductances in the rat hippocampus,"£2 400,00"
Wiley Subscription Services,Journal of Physiology,Redefining the component of cenral CO2 chemosensitivity,"£2 292,34"
Wiley-Blackwell,Journal of Physiology,Action potential wavelength restitution predicts alternans and arrhythmia in murine Scn5a+/- hearts,"£2 013,83"
Wiley-Blackwell,Journal of Physiology,Burst activity and ultrafast activation kinetics of CaV1.3 Ca2+ channels support presynaptic activity in adult gerbil hair cell ribbon synapses,"£2 023,54"
Policy Press,Journal of Poverty and Social Justice,"

Subjective wellbeing: a primer for poverty analysts ","£1 800,00"
ACS,Journal of Proteome Research,"Mapping Proteolytic Processing in the Secretome of Gastric Cancer-Associated Myofibroblasts Reveals Activation of MMP-1, MMP-2, and MMP‑3","£2 367,95"
American Chemical Society,Journal of Proteome Research,Proteomic analysis of extracellular matrix from the hepatic stellate cell line LX-2 identifies CYR61 and Wnt-5a as novel constituents of fibrotic liver,"£1 321,88"
Elsevier,Journal of Proteomics,Cleaning up the masses: Exclusion lists to reduce contamination with HPLC-MS/MS.,"£2 471,41"
Elsevier,Journal of Proteomics,Quantitative cross-linking/mass spectrometry using isotope-labelled cross-linkers.,"£2 980,36"
Sage Publications,Journal of Psychopharmacology,NK1 (TACR1) receptor gene 'knockout' mouse phenotype predicts genetic association with ADHD,"£1 920,00"
Oxford Journals,Journal of Public Health,Examining inequalities in the uptake of the school-based HPV vaccination programme in England: a retrospective cohort study,"£1 800,00"
Wiley Subscription Services,Journal of Sleep Research,Sleep patterns in children with ADHD: a population-based cohort study from birth to 11 years,"£2 368,42"
Wliey-Blackwell,Journal of Small Animal Practice,"Prevalence, outcome and risk factors for post-operative pyothorax in 232 dogs undergoing thoracic surgery
","£2 400,00"
Elsevier,Journal of Structural Biology,From SPINE to SPINE-2 complexes and beyond,"£1 939,95"
Elsevier,Journal of Structural Biology,Cells under siege: Viral glycoprotein interactions at the cell surface,"£1 939,95"
Elsevier,Journal of Structural Biology,How vaccinia virus has evolved to subvert the host immune response,"£1 939,95"
Elsevier,Journal of Structural Biology,Automation of large scale transient protein expression in mammalian cells,"£1 939,95"
Elsevier,Journal of Structural Biology,Recording information on protein complexes in an information management system,"£1 939,95"
Elsevier,Journal of Structural Biology,xtalPiMS: A PiMS-based web application for the management and monitoring of crystallization trials,"£1 939,95"
Elsevier,Journal of Structural Biology,Cryo-electron tomography and 3-D analysis of the intact flagellum in trypanosoma brucei,"£2 284,19"
Elsevier,Journal of Structural Biology,A method to achieve homogeneous dispersion of large transmembrane complexes within the holes of carbon films for electron cryomicroscopy,"£2 328,43"
Elsevier,Journal of the American Academy of Child and Adolescent Psychiatry ,"Irritable Mood as a Symptom of Depression in Youth: Prevalence, Developmental, and Clinical Correlates in the Great Smoky Mountains Study","£2 409,80"
American Chemical Society,Journal of the American Chemical Society,Chemical and structural analysis of an antibody folding intermediate trapped during glycan biosynthesis,"£1 626,14"
Elsevier,Journal of the American College of Cardiology,"The Relationship Between Metabolic Risk Factors and Incident Cardiovascular Disease in Europeans, South Asians, and African Caribbeans","£1 528,17"
SPRINGER-VERLAG GMBH,Journal of The American Society for Mass Spectrometry,Probing the complementarity of FAIMS and strong cation exchange chromatography in shotgun proteomics,"£2 081,07"
Springer,Journal of the Association for Research in Otolaryngology,The Frequency Following Response (FFR) May Reflect Pitch-Bearing Information But is Not a Direct Representation of Pitch,"£2 049,78"
Wiley,Journal of the History of the Behavioral Sciences,"Normalizing the supernormal: The formation of the “Gesellschaft für Psychologische Forschung” (“Society for Psychological Research”), c. 1886-1890","£2 296,94"
CUP,Journal of the International African Institute,"Stuck in ruins, or up and coming?","£2 034,00"
CUP,Journal of the International African Institute,"Pharmacy, money and public health in Dakar.","£2 034,00"
CUP,Journal of the International African Institute,Tarmacking in the mellinum city: spatial and temporal  tralectories of empowerment in Kenya.,"£2 034,00"
COACTION,Journal of the International AIDS Society,Quantifying losses from the care pathway for people living with infection in sub-Saharan Africa.,"£1 370,63"
International AIDS Society,Journal of the International AIDS Society,"Barriers and facilitators to linkage to ART in primary care: a qualitiative study of patients and providers in Blantyre, Malawi","£1 430,84"
International AIDS Society,Journal of the International AIDS Society,Childrens role in the community response to HIV in Zimbabwe,"£1 663,29"
Open Access Reg Ltd,Journal of the International AIDS Society,"Sexual risk after HIV diagnosis: a comparison of pre-ART individuals with CD4_500 cells/ml and ART-eligible individuals in a HIV treatment and care programme in rural KwaZulu-Natal, South Africa","£1 451,60"
OUP,Journal of the National Cancer Institute,Association between genetic variants on chromosome 15q25 locus and objective measures of tobacco exposure,"£2 040,00"
Oxford University Press,Journal of the National Cancer Institute,Effect of SMURF2 Targeting on Susceptibility to MEK Inhibitors in Melanoma,"£2 040,00"
Elsevier,Journal of the Neurological Sciences,The m.3291T>C mt-tRNA mutation is definitely pathogenic and causes multisystem mitochondrial disease,"£2 404,27"
Royal Society,Journal of the Royal Society Interface,Function-valued traits in evolution,"£1 260,00"
Royal Society,Journal of the Royal Society Interface,Cell-type-specific modelling of intracellular calcium signalling: a urothelial cell model,"£1 260,00"
Royal Society,Journal of the Royal Society Interface,A gene regulatory motif that generates oscillatory or multiway switch outputs,"£1 680,00"
Royal Society,Journal of the Royal Society Interface,Life as we know it,"£1 680,00"
Royal Society,Journal of the Royal Society Interface,Computational modelling of the piglet brain to simulate near-infrared spectroscopy and magnetic resonance spectroscopy data collected during oxygen deprivation,"£1 680,00"
The Royal Society,Journal of the Royal Society Interface,"The structure of latherin, a surfactant allergen protein from horse sweat and saliva","£2 057,78"
Sage Publications Ltd,Journal of the Royal Society of Medicine Short Reports,Evidence and ideology as a rationale for light-therapy in Russia: from the Soviet Union to the present day.,"£420,00"
Sage Publications Ltd,Journal of the Royal Society of Medicine Short Reports,Juvenile Huntington's disease: A population-based study using the general practice research database.,"£1 500,00"
Royal Society,"Journal of the Royal Society, Interface",Generating super-shedders: co-infection increases bacterial load and egg production of a gastrointestinal helminth.,"£1 260,00"
Wiley,Journal of the Royal Statistical Society: Series C (Applied Statistics),A coupled hidden Markov model for disease interactions,"£2 363,76"
Elsevier,Journal of Transport Geography,The factors influencing car use in a cycle-friendly city: the case of Cambridge,"£1 188,83"
Wiley-Blackwell,Journal of Viral Hepatitis,Canine hepacivirus is not associated with chronic liver disease in dogs,"£2 350,49"
Cenveo Publisher Services/ASM JV1,Journal of Virol,Acute CD8 Tcell response tat select for escape variants are needed to control live attenuted SIV,"£1 604,82"
Elsevier,Journal of Virological Methods,A plate-based high-throughput assay for virus stability and vaccine formulation.,"£2 165,92"
American Society for Microbiology,Journal of Virology,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,"£1 312,59"
American Society for Microbiology,Journal of Virology,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)","£1 549,44"
American Society for Microbiology,Journal of Virology,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,"£1 585,64"
American Society of Microbiology,Journal of Virology,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein","£1 247,41"
